test01
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,,CR-kmeans,,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
 01,  01 , 0.928, 1.006, 0.873, 0.953, 0.890, 1.003, 0.847, 1.006, 0.886, 1.008, 0.862, 0.821, 0.776, 0.987, 0.904, 0.879, 0.648, 0.978, 0.974, 1.137
 02,  01 , 0.900, 1.009, 0.843, 0.461, 0.907, 1.005, 0.817, 0.621, 0.855, 0.988, 0.887, 1.234, 0.756, 0.956, 0.891, 0.800, 0.643, 0.984, 1.000, 0.938
 03,  01 , 0.886, 1.011, 0.849, 0.602, 0.908, 1.006, 0.823, 0.659, 0.792, 0.983, 0.874, 0.864, 0.689, 0.942, 0.850, 1.326, 0.660, 0.998, 1.000, 1.196
 04,  01 , 0.881, 1.010, 0.835, 0.707, 0.905, 1.006, 0.815, 0.609, 0.791, 1.001, 0.848, 0.917, 0.849, 0.996, 0.915, 1.687, 0.657, 0.997, 1.000, 0.266
 05,  01 , 0.879, 1.010, 0.835, 0.646, 0.873, 0.999, 0.867, 0.655, 0.825, 0.992, 0.845, 1.541, 0.684, 0.985, 0.878, 1.029, 0.655, 0.996, 1.000, 0.262
 06,  01 , 0.834, 1.004, 0.868, 0.722, 0.925, 1.011, 0.856, 1.003, 0.930, 1.012, 0.856, 0.850, 0.774, 0.980, 0.905, 1.487, 0.657, 0.994, 1.000, 1.469
 07,  01 , 0.944, 1.010, 0.883, 0.993, 0.904, 1.005, 0.849, 1.035, 0.823, 0.985, 0.892, 1.155, 0.911, 1.009, 0.859, 1.570, 0.660, 0.993, 1.000, 1.731
 08,  01 , 0.892, 1.003, 0.858, 1.254, 0.928, 1.001, 0.875, 1.102, 0.778, 0.987, 0.860, 1.372, 0.776, 0.908, 0.855, 1.109, 0.657, 0.994, 1.000, 0.370
 09,  01 , 0.892, 1.006, 0.852, 1.689, 0.909, 1.007, 0.861, 1.216, 0.796, 0.995, 0.846, 1.086, 0.866, 0.932, 0.904, 1.593, 0.660, 0.994, 1.000, 1.852
 10,  01 , 0.890, 1.005, 0.848, 1.252, 0.893, 1.004, 0.887, 1.472, 0.831, 0.984, 0.868, 1.928, 0.877, 0.958, 0.856, 1.610, 0.662, 0.994, 1.000, 0.599
test02
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,,CR-kmeans,,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
 01,  02 , 0.875, 1.051, 0.900, 0.616, 0.874, 1.051, 0.887, 0.516, 0.872, 1.031, 0.912, 1.452, 0.861, 1.032, 0.931, 1.483, 0.853, 1.027, 1.000, 1.053
 02,  02 , 0.883, 1.045, 0.899, 0.780, 0.851, 1.048, 0.893, 0.562, 0.854, 1.028, 0.925, 0.789, 0.872, 1.050, 0.895, 0.688, 0.863, 1.033, 1.000, 2.145
 03,  02 , 0.867, 1.050, 0.878, 0.701, 0.850, 1.055, 0.891, 1.041, 0.866, 1.012, 0.919, 1.837, 0.875, 1.034, 0.898, 1.441, 0.854, 1.038, 1.000, 2.553
 04,  02 , 0.866, 1.048, 0.877, 0.732, 0.858, 1.053, 0.902, 1.008, 0.863, 1.025, 0.914, 1.481, 0.852, 1.030, 0.893, 0.819, 0.818, 1.024, 1.000, 2.374
 05,  02 , 0.869, 1.046, 0.893, 0.949, 0.860, 1.054, 0.919, 1.201, 0.866, 1.038, 0.897, 1.593, 0.853, 1.015, 0.897, 1.492, 0.862, 1.036, 1.000, 2.305
 06,  02 , 0.842, 1.051, 0.888, 0.848, 0.841, 1.049, 0.911, 0.818, 0.848, 1.052, 0.890, 1.154, 0.852, 1.046, 0.885, 1.145, 0.895, 1.016, 1.000, 3.108
 07,  02 , 0.854, 1.050, 0.858, 1.076, 0.846, 1.051, 0.865, 0.981, 0.852, 1.055, 0.872, 1.662, 0.845, 1.036, 0.882, 1.199, 0.864, 1.011, 1.000, 2.693
 08,  02 , 0.853, 1.044, 0.896, 1.124, 0.859, 1.048, 0.873, 1.175, 0.843, 1.044, 0.882, 1.092, 0.840, 1.038, 0.906, 1.584, 0.843, 1.022, 1.000, 3.820
 09,  02 , 0.857, 1.039, 0.887, 1.192, 0.838, 1.046, 0.886, 1.318, 0.843, 1.027, 0.871, 1.255, 0.851, 1.031, 0.889, 1.227, 0.863, 0.991, 1.000, 4.392
 10,  02 , 0.859, 1.042, 0.876, 1.313, 0.836, 1.044, 0.848, 0.995, 0.831, 1.029, 0.877, 1.757, 0.854, 1.027, 0.876, 1.882, 0.883, 1.021, 0.990, 4.766
test03
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,,CR-kmeans,,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
 01,  03 , 0.851, 1.024, 0.850, 0.507, 0.842, 1.019, 0.848, 0.475, 0.859, 1.024, 0.876, 0.710, 0.836, 1.015, 0.882, 0.597, 0.905, 0.980, 1.000, 1.444
 02,  03 , 0.838, 1.022, 0.915, 0.746, 0.882, 1.023, 0.874, 0.712, 0.921, 1.029, 0.881, 0.795, 0.924, 1.029, 0.871, 0.800, 0.940, 0.999, 1.000, 2.062
 03,  03 , 0.833, 1.026, 0.845, 0.560, 0.896, 1.028, 0.881, 0.850, 0.888, 1.029, 0.853, 0.796, 0.876, 1.022, 0.872, 0.798, 0.928, 0.989, 1.000, 2.238
 04,  03 , 0.891, 1.024, 0.870, 0.849, 0.813, 1.024, 0.855, 0.727, 0.882, 1.026, 0.872, 1.115, 0.648, 0.945, 0.895, 0.796, 0.829, 0.945, 1.000, 2.088
 05,  03 , 0.838, 1.022, 0.850, 0.919, 0.874, 1.027, 0.836, 0.855, 0.863, 1.009, 0.879, 1.024, 0.896, 1.026, 0.868, 1.512, 0.888, 0.985, 1.000, 3.053
 06,  03 , 0.829, 1.019, 0.821, 0.933, 0.857, 1.017, 0.837, 1.066, 0.824, 1.018, 0.838, 0.842, 0.907, 1.024, 0.854, 1.051, 0.913, 0.976, 1.000, 2.885
 07,  03 , 0.860, 1.019, 0.848, 0.960, 0.875, 1.022, 0.839, 0.920, 0.876, 1.019, 0.852, 1.175, 0.886, 1.023, 0.848, 1.664, 0.897, 0.981, 1.000, 3.419
 08,  03 , 0.893, 1.020, 0.858, 1.221, 0.867, 1.021, 0.849, 1.071, 0.878, 1.004, 0.875, 1.668, 0.913, 1.023, 0.876, 1.231, 0.879, 0.955, 1.000, 3.163
 09,  03 , 0.857, 1.013, 0.860, 1.215, 0.896, 1.015, 0.886, 1.272, 0.882, 1.015, 0.867, 1.055, 0.902, 1.015, 0.889, 1.784, 0.878, 0.955, 1.000, 3.709
 10,  03 , 0.869, 1.012, 0.851, 1.406, 0.899, 1.019, 0.869, 1.519, 0.850, 1.016, 0.859, 1.677, 0.903, 1.020, 0.872, 1.204, 0.861, 0.921, 1.000, 3.742
test04
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,,CR-kmeans,,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
 01,  04 , 0.840, 1.005, 0.882, 0.306, 0.835, 1.008, 0.851, 0.304, 0.812, 1.001, 0.912, 0.618, 0.934, 1.009, 0.877, 0.526, 0.720, 1.002, 1.000, 0.522
 02,  04 , 0.820, 1.007, 0.874, 0.717, 0.832, 1.001, 0.934, 0.540, 0.895, 1.002, 0.883, 0.554, 0.814, 1.002, 0.897, 1.284, 0.653, 0.989, 1.000, 0.999
