test01
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
 01,  01 , 0.854, 1.080, 0.721, 0.699, 0.864, 1.080, 0.721, 0.632, 0.882, 1.124, 0.710, 5.339, 0.882, 1.124, 0.710, 5.478
 02,  01 , 0.858, 1.080, 0.716, 0.484, 0.830, 1.076, 0.704, 0.434, 0.877, 1.127, 0.705, 5.678, 0.877, 1.127, 0.705, 5.815
 03,  01 , 0.859, 1.079, 0.714, 0.525, 0.838, 1.079, 0.695, 0.485, 0.875, 1.128, 0.698, 6.940, 0.875, 1.128, 0.698, 6.828
 04,  01 , 0.861, 1.078, 0.699, 0.659, 0.832, 1.077, 0.689, 0.575, 0.871, 1.129, 0.698, 8.327, 0.871, 1.129, 0.698, 8.756
 05,  01 , 0.855, 1.078, 0.705, 0.468, 0.843, 1.078, 0.693, 0.514, 0.875, 1.128, 0.699, 7.207, 0.875, 1.128, 0.699, 7.237
 06,  01 , 0.859, 1.071, 0.704, 0.608, 0.853, 1.078, 0.697, 0.594, 0.858, 1.059, 0.757, 2.213, 0.897, 1.059, 0.774, 2.610
 07,  01 , 0.862, 1.076, 0.693, 0.728, 0.854, 1.073, 0.699, 0.593, 0.860, 1.072, 0.764, 2.726, 0.873, 1.066, 0.767, 2.739
 08,  01 , 0.849, 1.075, 0.700, 0.822, 0.854, 1.076, 0.697, 0.772, 0.882, 1.068, 0.777, 2.865, 0.884, 1.059, 0.785, 2.922
 09,  01 , 0.855, 1.077, 0.679, 0.761, 0.855, 1.075, 0.704, 0.816, 0.811, 1.059, 0.755, 3.031, 0.845, 1.062, 0.759, 3.185
 10,  01 , 0.830, 1.074, 0.672, 0.772, 0.829, 1.071, 0.671, 0.775, 0.820, 1.053, 0.746, 3.255, 0.864, 1.058, 0.757, 3.246
 11,  01 , 0.832, 1.074, 0.666, 0.978, 0.821, 1.071, 0.672, 1.048, 0.808, 1.053, 0.755, 3.464, 0.816, 1.054, 0.721, 3.484
 12,  01 , 0.839, 1.075, 0.671, 1.088, 0.827, 1.068, 0.666, 0.904, 0.839, 1.055, 0.757, 3.628, 0.886, 1.061, 0.752, 3.664
 13,  01 , 0.835, 1.072, 0.664, 1.169, 0.825, 1.068, 0.660, 0.952, 0.842, 1.054, 0.740, 3.917, 0.867, 1.061, 0.744, 3.829
 14,  01 , 0.845, 1.071, 0.677, 1.127, 0.858, 1.071, 0.678, 1.336, 0.801, 1.052, 0.754, 4.064, 0.834, 1.056, 0.750, 4.081
 15,  01 , 0.846, 1.072, 0.674, 1.431, 0.855, 1.073, 0.665, 1.331, 0.849, 1.056, 0.743, 4.322, 0.862, 1.059, 0.754, 4.326
test02
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,,
