Car	0.00000	2.00000	4.00000	6.00000	8.00000	10.00000	12.00000	14.00000	16.00000	18.00000	20.00000
P-GAGM	0.95897	0.96154	0.91538	0.87692	0.80769	0.74872	0.60513	0.60769	0.70769	0.63333	0.56923
CP-GAGM	1.00000	0.95897	0.96923	0.90256	0.94359	0.89744	0.76667	0.71282	0.74103	0.72308	0.63846
C-GAGM	1.00000	1.00000	0.96923	0.90769	0.94872	0.89744	0.76154	0.71795	0.74872	0.72308	0.64359
M-GAGM	1.00000	0.95897	0.96923	0.95385	0.94359	0.89744	0.84615	0.81282	0.82308	0.82051	0.71026
MB-GAGM	1.00000	0.95897	0.96923	0.95385	0.94359	0.89744	0.84615	0.77179	0.82308	0.82051	0.71026
P-RRWM	0.95128	0.94103	0.89231	0.87949	0.74359	0.76410	0.68462	0.64872	0.67692	0.46410	0.52051
CP-RRWM	0.98974	0.92821	0.94359	0.94359	0.83077	0.86154	0.77436	0.75128	0.73846	0.49744	0.62564
C-RRWM	0.98974	0.96410	0.95897	0.94872	0.83590	0.87692	0.76923	0.75641	0.74615	0.52308	0.64872
M-RRWM	0.98974	0.92821	0.91795	0.95897	0.87179	0.94359	0.82308	0.76667	0.81026	0.54615	0.70513
MB-RRWM	0.98974	0.92821	0.92821	0.95897	0.87179	0.94359	0.82308	0.75641	0.80513	0.54103	0.68974
P-LCGA	0.91795	0.88718	0.77179	0.72821	0.71538	0.66410	0.54359	0.56410	0.58462	0.32308	0.36667
CP-LCGA	0.95897	0.93333	0.90513	0.80513	0.79487	0.76154	0.68205	0.68205	0.66154	0.38462	0.41026
C-LCGA	0.95897	0.93333	0.90256	0.81282	0.80256	0.77436	0.66154	0.69744	0.68462	0.38205	0.43590
M-LCGA	0.95897	0.97436	0.95897	0.91026	0.79744	0.87949	0.76154	0.74103	0.68205	0.51026	0.52564
MB-LCGA	0.95897	0.96410	0.95897	0.91026	0.79744	0.83846	0.76154	0.68974	0.67179	0.47436	0.51538
P-IPFP	0.92308	0.82821	0.78974	0.77949	0.71282	0.66410	0.54615	0.53333	0.47179	0.34615	0.38718
CP-IPFP	0.96923	0.89744	0.91538	0.84872	0.80000	0.80256	0.58462	0.56923	0.50000	0.39487	0.49487
C-IPFP	0.96410	0.88718	0.92051	0.86410	0.80256	0.80000	0.59487	0.57949	0.50513	0.40769	0.52821
M-IPFP	0.96923	0.89231	0.96923	0.91282	0.83077	0.88462	0.69487	0.70000	0.74103	0.52564	0.51538
MB-IPFP	0.96923	0.89231	0.96923	0.90256	0.82051	0.83590	0.65385	0.60769	0.66923	0.45641	0.49231
P-FGM	0.94103	0.92308	0.81538	0.77436	0.81026	0.71026	0.52308	0.64615	0.60000	0.55385	0.46667
CP-FGM	0.97949	0.95897	0.96923	0.84615	0.89744	0.80513	0.64359	0.74872	0.65641	0.63590	0.56410
C-FGM	0.96410	0.96923	0.95897	0.86154	0.89231	0.80256	0.63846	0.74615	0.66667	0.64103	0.56667
M-FGM	0.97949	0.95897	0.95385	0.84615	0.89744	0.84103	0.67436	0.74872	0.66154	0.66667	0.56667
MB-FGM	0.97949	0.95897	0.95385	0.84615	0.89744	0.84103	0.67436	0.74872	0.66154	0.66667	0.56667
