Car	0.00000	2.00000	4.00000	6.00000	8.00000	10.00000	12.00000	14.00000	16.00000	18.00000	20.00000
P-GAGM	0.14792	0.13868	0.20327	0.32346	0.34796	0.43823	0.46925	0.48932	0.43005	0.46818	0.48358
CP-GAGM	0.00000	0.14792	0.11094	0.23823	0.16743	0.25036	0.39419	0.44974	0.43388	0.43946	0.46879
C-GAGM	0.00000	0.00000	0.11094	0.22532	0.13650	0.25036	0.40444	0.44587	0.42043	0.44397	0.46194
M-GAGM	0.00000	0.14792	0.11094	0.16641	0.16743	0.25036	0.33446	0.38871	0.39047	0.38408	0.43303
MB-GAGM	0.00000	0.14792	0.11094	0.16641	0.16743	0.25036	0.33446	0.43387	0.39047	0.38408	0.43303
P-RRWM	0.15768	0.21264	0.25757	0.25219	0.37856	0.36541	0.37982	0.41689	0.42274	0.41740	0.45896
CP-RRWM	0.03698	0.21811	0.17088	0.14133	0.35125	0.30906	0.32187	0.40135	0.39091	0.44471	0.47457
C-RRWM	0.03698	0.12943	0.13095	0.13225	0.33669	0.26283	0.33669	0.39259	0.38855	0.41203	0.44392
M-RRWM	0.03698	0.21811	0.24806	0.12585	0.30347	0.11714	0.28328	0.38631	0.33439	0.46334	0.43639
MB-RRWM	0.03698	0.21811	0.21811	0.12585	0.30347	0.11714	0.28328	0.39199	0.33223	0.45311	0.43058
P-LCGA	0.24806	0.25864	0.39024	0.37468	0.36858	0.42225	0.41596	0.45786	0.44885	0.40225	0.43612
CP-LCGA	0.14792	0.18297	0.22536	0.30522	0.33771	0.41075	0.38091	0.43033	0.43100	0.42923	0.44809
C-LCGA	0.14792	0.18297	0.23699	0.29858	0.32174	0.39358	0.39301	0.43754	0.42561	0.42261	0.44391
M-LCGA	0.14792	0.06405	0.13095	0.21316	0.37175	0.24261	0.32401	0.40957	0.44258	0.45488	0.45806
MB-LCGA	0.14792	0.08552	0.13095	0.21316	0.37175	0.30391	0.32423	0.43512	0.43735	0.46678	0.45696
P-IPFP	0.19484	0.30492	0.36938	0.33328	0.37987	0.41856	0.43619	0.42678	0.41203	0.40163	0.43662
CP-IPFP	0.09541	0.23028	0.22357	0.20804	0.33924	0.37270	0.44592	0.43732	0.41857	0.41118	0.46514
C-IPFP	0.10905	0.24803	0.20952	0.23281	0.33914	0.37205	0.42962	0.43202	0.41741	0.39836	0.45254
M-IPFP	0.09541	0.24363	0.11094	0.18708	0.30127	0.24955	0.39935	0.40896	0.37895	0.45454	0.46840
MB-IPFP	0.09541	0.24363	0.11094	0.19201	0.29827	0.33750	0.42916	0.44634	0.42139	0.42925	0.45222
P-FGM	0.17987	0.18827	0.35181	0.39633	0.34921	0.41792	0.47791	0.41958	0.42127	0.44055	0.47466
CP-FGM	0.07396	0.14792	0.11094	0.36380	0.24462	0.35913	0.45736	0.40794	0.42928	0.42742	0.48630
C-FGM	0.12943	0.11094	0.14792	0.33445	0.25317	0.35120	0.45494	0.40377	0.43254	0.42627	0.47214
M-FGM	0.07396	0.14792	0.16641	0.36380	0.24462	0.30441	0.46463	0.40794	0.42220	0.41886	0.48341
MB-FGM	0.07396	0.14792	0.16641	0.36380	0.24462	0.30441	0.46463	0.40794	0.42220	0.41886	0.48341
