Car	0.00000	2.00000	4.00000	6.00000	8.00000	10.00000	12.00000	14.00000	16.00000	18.00000	20.00000
P-GAGM	0.97762	0.99465	0.97300	0.94535	0.91609	0.88146	0.80724	0.79967	0.84112	0.76487	0.76143
CP-GAGM	1.00000	1.00423	0.99073	0.95536	0.95636	0.92015	0.85723	0.83615	0.85755	0.79079	0.76532
C-GAGM	1.00000	1.00000	0.98986	0.94171	0.91971	0.88300	0.75585	0.76032	0.77452	0.69102	0.65665
M-GAGM	1.00000	1.00423	0.99073	0.97942	0.97516	0.95132	0.92789	0.92223	0.92187	0.87841	0.82871
MB-GAGM	1.00000	1.00423	0.99073	0.97525	0.96929	0.94995	0.91852	0.90672	0.91816	0.86585	0.82737
P-RRWM	0.97697	0.98252	0.92379	0.92448	0.85764	0.82731	0.73727	0.71896	0.68342	0.56872	0.59065
CP-RRWM	0.99533	0.98557	0.97102	0.96705	0.91713	0.88658	0.78943	0.76202	0.71335	0.59481	0.62899
C-RRWM	0.99533	0.97733	0.97642	0.94129	0.85927	0.84524	0.72777	0.70591	0.66789	0.50356	0.51730
M-RRWM	0.99533	0.98557	0.98465	0.98340	0.95200	0.94334	0.85907	0.81955	0.80548	0.68018	0.70463
MB-RRWM	0.99533	0.98557	0.98295	0.98340	0.95113	0.94296	0.85546	0.80343	0.79853	0.66605	0.69378
P-LCGA	0.95360	0.94243	0.89937	0.85873	0.84545	0.79482	0.70115	0.71740	0.69722	0.58066	0.59115
CP-LCGA	0.97682	0.95288	0.95139	0.88191	0.88181	0.84608	0.75606	0.74675	0.71367	0.57778	0.58720
C-LCGA	0.97682	0.95325	0.92943	0.85042	0.80175	0.78275	0.65363	0.68270	0.63329	0.44245	0.43728
M-LCGA	0.97682	0.97479	0.98160	0.95151	0.92015	0.91979	0.82860	0.81170	0.76438	0.67069	0.63794
MB-LCGA	0.97682	0.97115	0.98160	0.95006	0.90725	0.89866	0.81133	0.78825	0.74326	0.65513	0.62489
P-IPFP	0.96027	0.90518	0.90232	0.87513	0.85227	0.80127	0.69345	0.68632	0.63045	0.58915	0.58669
CP-IPFP	0.98806	0.94326	0.95766	0.89348	0.88078	0.86932	0.71403	0.69234	0.62454	0.57081	0.59952
C-IPFP	0.97358	0.94876	0.95191	0.85935	0.81826	0.80130	0.62895	0.61764	0.51261	0.43550	0.48488
M-IPFP	0.98806	0.95197	0.98787	0.93465	0.90231	0.90936	0.79743	0.76533	0.76952	0.66333	0.63310
MB-IPFP	0.98806	0.95197	0.98787	0.93268	0.88761	0.88781	0.77449	0.72804	0.73656	0.61094	0.60499
P-FGM	0.97969	0.97705	0.92883	0.89877	0.90546	0.84567	0.75720	0.79791	0.73870	0.68938	0.64410
CP-FGM	0.98911	1.00423	0.98746	0.93905	0.94100	0.86836	0.79635	0.83435	0.75753	0.68727	0.65200
C-FGM	0.97900	0.98033	0.97415	0.89078	0.89274	0.80499	0.71054	0.77799	0.67471	0.60539	0.54025
M-FGM	0.98911	1.00423	0.99297	0.94128	0.94828	0.89314	0.83549	0.84917	0.77437	0.72680	0.67252
MB-FGM	0.98911	1.00423	0.99297	0.94128	0.94828	0.89103	0.83353	0.84917	0.77437	0.72109	0.66657
