Car	0.00000	2.00000	4.00000	6.00000	8.00000	10.00000	12.00000	14.00000	16.00000	18.00000	20.00000
P-GAGM	0.08071	0.07109	0.08308	0.15267	0.15776	0.18991	0.21888	0.24847	0.19152	0.22184	0.22154
CP-GAGM	0.00000	0.03684	0.03572	0.12586	0.10709	0.13964	0.18506	0.23195	0.17010	0.20846	0.22925
C-GAGM	0.00000	0.00000	0.03883	0.14275	0.15790	0.15915	0.25551	0.28793	0.26378	0.28404	0.29160
M-GAGM	0.00000	0.03684	0.03572	0.08409	0.10644	0.09957	0.14831	0.17494	0.16043	0.17630	0.23223
MB-GAGM	0.00000	0.03684	0.03572	0.08987	0.10918	0.09862	0.14885	0.19332	0.16729	0.18659	0.23003
P-RRWM	0.07609	0.11394	0.18163	0.15519	0.21628	0.24447	0.26015	0.24403	0.26401	0.25399	0.26697
CP-RRWM	0.01685	0.09407	0.08455	0.09302	0.14054	0.17580	0.21488	0.22782	0.24205	0.23864	0.26337
C-RRWM	0.01685	0.08172	0.06639	0.15901	0.22264	0.21027	0.25561	0.24951	0.26400	0.25155	0.25034
M-RRWM	0.01685	0.09407	0.04633	0.07834	0.12838	0.12159	0.14877	0.24806	0.21150	0.29102	0.26461
MB-RRWM	0.01685	0.09407	0.05194	0.07834	0.12427	0.12025	0.14815	0.24791	0.21120	0.28667	0.25977
P-LCGA	0.14407	0.13925	0.16516	0.19756	0.19216	0.24767	0.22139	0.21320	0.21023	0.16887	0.18590
CP-LCGA	0.08359	0.12327	0.11059	0.18106	0.17116	0.22306	0.18172	0.21690	0.20366	0.17444	0.19855
C-LCGA	0.08359	0.12299	0.16544	0.22376	0.23708	0.29227	0.25405	0.26560	0.24651	0.19160	0.21496
M-LCGA	0.08359	0.07304	0.05339	0.11590	0.16541	0.13031	0.18219	0.22526	0.20619	0.20725	0.22544
MB-LCGA	0.08359	0.07779	0.05339	0.11569	0.16199	0.17826	0.19311	0.22823	0.21335	0.21334	0.21698
P-IPFP	0.10914	0.18067	0.16720	0.18091	0.19279	0.25084	0.21766	0.20940	0.17737	0.16850	0.19650
CP-IPFP	0.03756	0.12577	0.11090	0.16399	0.18012	0.21618	0.19280	0.21186	0.19805	0.19326	0.21748
C-IPFP	0.08196	0.10857	0.13147	0.20530	0.21538	0.25697	0.22470	0.23362	0.22153	0.20604	0.22654
M-IPFP	0.03756	0.11166	0.04601	0.12887	0.17878	0.17984	0.19382	0.18755	0.19443	0.21069	0.23452
MB-IPFP	0.03756	0.11166	0.04601	0.13339	0.17497	0.20795	0.19252	0.19520	0.18911	0.20589	0.21427
P-FGM	0.06256	0.09821	0.15021	0.18579	0.18342	0.20384	0.22614	0.21946	0.22080	0.19260	0.21997
CP-FGM	0.03927	0.03684	0.04748	0.14867	0.13987	0.20638	0.21774	0.21219	0.21061	0.20390	0.23578
C-FGM	0.07571	0.07093	0.09322	0.19136	0.20416	0.23912	0.28901	0.25982	0.26883	0.21886	0.26031
M-FGM	0.03927	0.03684	0.02761	0.14525	0.13707	0.18764	0.21834	0.21880	0.19444	0.19687	0.25641
MB-FGM	0.03927	0.03684	0.02761	0.14525	0.13707	0.18623	0.21736	0.21880	0.19444	0.20239	0.24917
