test01
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
 01,  01 , 0.815, 1.055, 0.595, 0.282, 0.800, 1.054, 0.575, 0.312, 0.966, 1.114, 0.723, 5.284, 0.966, 1.114, 0.723, 5.298
 02,  01 , 0.854, 1.047, 0.664, 0.536, 0.852, 1.052, 0.653, 0.448, 0.956, 1.114, 0.745, 5.459, 0.956, 1.114, 0.745, 5.445
 03,  01 , 0.911, 1.054, 0.689, 0.573, 0.880, 1.055, 0.661, 0.536, 0.959, 1.117, 0.746, 5.826, 0.959, 1.117, 0.746, 5.758
 04,  01 , 0.946, 1.062, 0.742, 0.531, 0.885, 1.058, 0.704, 0.628, 0.962, 1.116, 0.749, 6.408, 0.962, 1.116, 0.749, 6.408
 05,  01 , 0.948, 1.064, 0.729, 0.596, 0.886, 1.057, 0.684, 0.642, 0.963, 1.115, 0.752, 6.944, 0.963, 1.115, 0.752, 6.936
 06,  01 , 0.894, 1.062, 0.690, 0.657, 0.848, 1.055, 0.655, 0.550, 0.956, 1.059, 0.805, 2.511, 0.908, 1.064, 0.786, 2.057
 07,  01 , 0.877, 1.061, 0.683, 0.859, 0.866, 1.058, 0.658, 0.857, 0.879, 1.062, 0.811, 2.573, 0.946, 1.070, 0.822, 2.559
 08,  01 , 0.857, 1.057, 0.660, 0.795, 0.883, 1.055, 0.661, 0.890, 0.894, 1.053, 0.785, 2.717, 0.921, 1.066, 0.807, 2.699
 09,  01 , 0.854, 1.055, 0.679, 0.963, 0.890, 1.056, 0.670, 0.977, 0.870, 1.050, 0.786, 2.853, 0.924, 1.055, 0.823, 2.737
 10,  01 , 0.852, 1.055, 0.669, 0.760, 0.893, 1.055, 0.675, 1.059, 0.882, 1.043, 0.816, 3.059, 0.926, 1.062, 0.817, 2.983
 11,  01 , 0.839, 1.055, 0.657, 1.154, 0.896, 1.055, 0.669, 1.153, 0.885, 1.050, 0.802, 3.185, 0.928, 1.056, 0.812, 3.132
 12,  01 , 0.850, 1.054, 0.668, 1.141, 0.898, 1.055, 0.674, 1.171, 0.866, 1.050, 0.795, 3.419, 0.956, 1.057, 0.804, 3.363
 13,  01 , 0.858, 1.054, 0.682, 1.161, 0.904, 1.057, 0.672, 1.036, 0.875, 1.041, 0.799, 3.583, 0.957, 1.064, 0.815, 3.440
 14,  01 , 0.854, 1.058, 0.660, 1.022, 0.913, 1.058, 0.679, 1.313, 0.880, 1.040, 0.794, 3.789, 0.958, 1.059, 0.802, 3.712
 15,  01 , 0.857, 1.059, 0.663, 1.426, 0.920, 1.059, 0.678, 1.289, 0.902, 1.056, 0.791, 4.071, 0.959, 1.070, 0.815, 3.943
test02
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
 01,  02 , 0.604, 1.034, 0.466, 0.263, 0.607, 1.040, 0.450, 0.288, 0.722, 1.108, 0.498, 5.804, 0.722, 1.108, 0.498, 5.802
 02,  02 , 0.676, 1.025, 0.553, 0.504, 0.664, 1.025, 0.511, 0.422, 0.794, 1.110, 0.672, 5.925, 0.794, 1.110, 0.672, 5.906
 03,  02 , 0.692, 1.028, 0.579, 0.593, 0.653, 1.023, 0.530, 0.504, 0.833, 1.112, 0.710, 6.288, 0.833, 1.112, 0.710, 6.267
 04,  02 , 0.797, 1.045, 0.652, 0.631, 0.726, 1.027, 0.586, 0.540, 0.867, 1.113, 0.745, 6.626, 0.867, 1.113, 0.745, 6.596
 05,  02 , 0.799, 1.045, 0.655, 0.691, 0.750, 1.035, 0.621, 0.644, 0.870, 1.115, 0.739, 7.197, 0.870, 1.115, 0.739, 7.149
 06,  02 , 0.841, 1.046, 0.680, 0.708, 0.773, 1.040, 0.627, 0.765, 0.882, 1.062, 0.791, 2.142, 0.871, 1.053, 0.793, 2.550
 07,  02 , 0.854, 1.048, 0.685, 0.776, 0.757, 1.042, 0.644, 0.829, 0.890, 1.055, 0.823, 2.669, 0.878, 1.051, 0.809, 2.712
 08,  02 , 0.844, 1.052, 0.674, 0.784, 0.757, 1.043, 0.656, 0.707, 0.867, 1.056, 0.797, 2.808, 0.875, 1.059, 0.778, 2.818
 09,  02 , 0.809, 1.049, 0.638, 0.850, 0.749, 1.045, 0.621, 0.983, 0.875, 1.048, 0.806, 3.094, 0.839, 1.056, 0.803, 2.944
 10,  02 , 0.811, 1.045, 0.629, 0.990, 0.733, 1.045, 0.606, 1.055, 0.885, 1.052, 0.805, 3.054, 0.845, 1.051, 0.803, 3.037
 11,  02 , 0.833, 1.046, 0.660, 1.053, 0.731, 1.041, 0.620, 1.145, 0.901, 1.056, 0.804, 3.280, 0.835, 1.056, 0.783, 3.237
 12,  02 , 0.860, 1.053, 0.668, 1.246, 0.726, 1.040, 0.609, 1.137, 0.860, 1.046, 0.763, 3.519, 0.822, 1.053, 0.800, 3.379
 13,  02 , 0.858, 1.054, 0.670, 1.229, 0.745, 1.040, 0.639, 1.223, 0.874, 1.053, 0.795, 3.648, 0.859, 1.050, 0.810, 3.510
 14,  02 , 0.852, 1.053, 0.663, 1.326, 0.735, 1.040, 0.649, 1.208, 0.885, 1.056, 0.806, 3.759, 0.858, 1.057, 0.809, 3.688
 15,  02 , 0.827, 1.053, 0.641, 1.295, 0.721, 1.039, 0.643, 1.534, 0.847, 1.036, 0.777, 4.073, 0.827, 1.043, 0.770, 3.934
test03
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
 01,  03 , 0.600, 1.043, 0.470, 0.285, 0.610, 1.051, 0.486, 0.317, 0.720, 1.118, 0.539, 5.721, 0.720, 1.118, 0.539, 5.763
 02,  03 , 0.629, 1.032, 0.532, 0.452, 0.604, 1.038, 0.482, 0.434, 0.833, 1.119, 0.666, 6.109, 0.833, 1.119, 0.666, 6.176
 03,  03 , 0.623, 1.026, 0.534, 0.582, 0.596, 1.025, 0.500, 0.453, 0.854, 1.122, 0.684, 7.089, 0.854, 1.122, 0.684, 6.507
 04,  03 , 0.648, 1.033, 0.549, 0.575, 0.666, 1.028, 0.600, 0.518, 0.850, 1.125, 0.685, 7.112, 0.850, 1.125, 0.685, 7.051
 05,  03 , 0.693, 1.039, 0.593, 0.700, 0.653, 1.037, 0.590, 0.648, 0.852, 1.126, 0.684, 7.949, 0.852, 1.126, 0.684, 7.926
 06,  03 , 0.702, 1.046, 0.572, 0.794, 0.693, 1.045, 0.598, 0.663, 0.840, 1.062, 0.777, 2.694, 0.833, 1.065, 0.731, 2.184
 07,  03 , 0.716, 1.044, 0.584, 0.724, 0.689, 1.043, 0.583, 0.719, 0.844, 1.066, 0.777, 2.801, 0.838, 1.061, 0.758, 2.830
 08,  03 , 0.739, 1.049, 0.627, 0.839, 0.694, 1.043, 0.593, 0.773, 0.853, 1.066, 0.764, 2.907, 0.861, 1.065, 0.750, 3.009
 09,  03 , 0.755, 1.055, 0.604, 0.922, 0.710, 1.048, 0.594, 0.864, 0.853, 1.056, 0.764, 3.068, 0.844, 1.062, 0.812, 3.139
 10,  03 , 0.753, 1.054, 0.591, 1.031, 0.714, 1.052, 0.595, 0.774, 0.820, 1.028, 0.763, 3.252, 0.850, 1.059, 0.779, 3.191
 11,  03 , 0.742, 1.051, 0.602, 1.069, 0.744, 1.056, 0.586, 1.152, 0.822, 1.041, 0.737, 3.511, 0.854, 1.064, 0.785, 3.454
 12,  03 , 0.740, 1.051, 0.597, 0.894, 0.744, 1.057, 0.597, 1.247, 0.860, 1.063, 0.737, 3.770, 0.861, 1.058, 0.769, 3.618
 13,  03 , 0.760, 1.055, 0.592, 1.145, 0.741, 1.058, 0.584, 1.359, 0.843, 1.066, 0.757, 3.914, 0.846, 1.070, 0.744, 3.888
 14,  03 , 0.751, 1.057, 0.585, 1.239, 0.740, 1.056, 0.583, 1.283, 0.848, 1.060, 0.740, 4.141, 0.846, 1.067, 0.755, 4.052
 15,  03 , 0.730, 1.052, 0.584, 1.357, 0.728, 1.054, 0.567, 1.331, 0.849, 1.059, 0.757, 4.289, 0.848, 1.061, 0.756, 4.373
test04
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
 01,  04 , 0.739, 1.052, 0.594, 0.387, 0.756, 1.052, 0.630, 0.444, 0.888, 1.107, 0.731, 6.110, 0.888, 1.107, 0.731, 5.207
 02,  04 , 0.749, 1.046, 0.626, 0.486, 0.712, 1.047, 0.603, 0.376, 0.821, 1.108, 0.742, 5.483, 0.821, 1.108, 0.742, 5.560
 03,  04 , 0.754, 1.047, 0.657, 0.452, 0.734, 1.052, 0.615, 0.504, 0.821, 1.108, 0.746, 5.848, 0.821, 1.108, 0.746, 6.085
 04,  04 , 0.774, 1.048, 0.672, 0.583, 0.780, 1.046, 0.668, 0.621, 0.829, 1.107, 0.749, 6.426, 0.829, 1.107, 0.749, 6.416
 05,  04 , 0.743, 1.047, 0.637, 0.638, 0.780, 1.048, 0.670, 0.598, 0.834, 1.112, 0.750, 7.027, 0.834, 1.112, 0.750, 7.054
 06,  04 , 0.779, 1.055, 0.696, 0.693, 0.793, 1.055, 0.678, 0.697, 0.830, 1.066, 0.817, 2.504, 0.835, 1.072, 0.793, 2.388
 07,  04 , 0.811, 1.057, 0.717, 0.777, 0.840, 1.062, 0.704, 0.775, 0.845, 1.047, 0.824, 2.554, 0.833, 1.054, 0.812, 2.557
 08,  04 , 0.779, 1.055, 0.669, 0.798, 0.798, 1.061, 0.677, 0.769, 0.791, 1.050, 0.782, 2.746, 0.800, 1.051, 0.769, 2.803
 09,  04 , 0.795, 1.057, 0.669, 0.911, 0.795, 1.057, 0.685, 0.902, 0.811, 1.051, 0.800, 2.971, 0.841, 1.062, 0.804, 2.927
 10,  04 , 0.809, 1.057, 0.684, 0.980, 0.769, 1.057, 0.664, 0.826, 0.807, 1.050, 0.808, 3.075, 0.846, 1.059, 0.805, 3.066
 11,  04 , 0.820, 1.055, 0.681, 1.053, 0.788, 1.057, 0.674, 1.057, 0.772, 1.049, 0.767, 3.231, 0.855, 1.053, 0.792, 3.219
 12,  04 , 0.794, 1.053, 0.639, 1.017, 0.754, 1.055, 0.641, 1.083, 0.798, 1.051, 0.779, 3.484, 0.839, 1.063, 0.812, 3.377
 13,  04 , 0.863, 1.065, 0.702, 1.118, 0.785, 1.059, 0.637, 1.323, 0.825, 1.061, 0.801, 3.554, 0.844, 1.058, 0.799, 3.515
 14,  04 , 0.858, 1.063, 0.714, 1.208, 0.740, 1.054, 0.610, 1.123, 0.808, 1.049, 0.785, 3.801, 0.854, 1.060, 0.808, 3.735
 15,  04 , 0.888, 1.066, 0.735, 1.309, 0.770, 1.056, 0.613, 1.332, 0.814, 1.050, 0.801, 3.995, 0.854, 1.058, 0.801, 3.861
test05
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
 01,  05 , 0.576, 1.026, 0.481, 0.323, 0.515, 1.036, 0.433, 0.287, 0.831, 1.105, 0.616, 5.570, 0.831, 1.105, 0.616, 5.574
 02,  05 , 0.567, 1.023, 0.486, 0.453, 0.527, 1.024, 0.476, 0.386, 0.881, 1.108, 0.686, 5.799, 0.881, 1.108, 0.686, 5.786
 03,  05 , 0.582, 1.014, 0.500, 0.451, 0.540, 1.015, 0.518, 0.539, 0.882, 1.106, 0.698, 6.191, 0.882, 1.106, 0.698, 6.154
 04,  05 , 0.604, 1.010, 0.541, 0.545, 0.618, 1.014, 0.531, 0.550, 0.934, 1.107, 0.739, 6.446, 0.934, 1.107, 0.739, 6.466
 05,  05 , 0.599, 1.014, 0.531, 0.583, 0.641, 1.026, 0.558, 0.681, 0.938, 1.110, 0.741, 6.988, 0.938, 1.110, 0.741, 6.971
 06,  05 , 0.617, 1.020, 0.579, 0.698, 0.624, 1.026, 0.562, 0.762, 0.903, 1.050, 0.766, 2.540, 0.926, 1.067, 0.806, 2.085
 07,  05 , 0.607, 1.017, 0.585, 0.777, 0.633, 1.027, 0.541, 0.767, 0.910, 1.050, 0.779, 2.679, 0.877, 1.055, 0.813, 2.568
 08,  05 , 0.647, 1.023, 0.603, 0.842, 0.596, 1.024, 0.530, 0.770, 0.920, 1.046, 0.811, 2.772, 0.890, 1.057, 0.816, 2.596
 09,  05 , 0.647, 1.027, 0.586, 0.897, 0.661, 1.024, 0.564, 0.845, 0.922, 1.053, 0.803, 2.877, 0.892, 1.063, 0.820, 2.790
 10,  05 , 0.656, 1.032, 0.628, 1.102, 0.690, 1.026, 0.563, 1.080, 0.916, 1.048, 0.807, 3.022, 0.891, 1.055, 0.815, 2.937
 11,  05 , 0.645, 1.033, 0.617, 1.050, 0.685, 1.031, 0.543, 1.077, 0.919, 1.056, 0.801, 3.209, 0.901, 1.062, 0.801, 3.166
 12,  05 , 0.628, 1.038, 0.589, 1.250, 0.666, 1.034, 0.562, 1.253, 0.919, 1.060, 0.789, 3.415, 0.904, 1.061, 0.807, 3.366
 13,  05 , 0.634, 1.035, 0.609, 1.233, 0.715, 1.038, 0.598, 1.367, 0.910, 1.065, 0.791, 3.569, 0.904, 1.055, 0.802, 3.488
 14,  05 , 0.659, 1.036, 0.596, 1.455, 0.715, 1.042, 0.569, 1.245, 0.915, 1.067, 0.789, 3.857, 0.902, 1.051, 0.807, 3.644
 15,  05 , 0.685, 1.035, 0.646, 1.525, 0.721, 1.040, 0.583, 1.444, 0.913, 1.057, 0.794, 4.048, 0.909, 1.055, 0.801, 3.925
test06
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
 01,  06 , 0.976, 1.070, 0.763, 0.307, 0.978, 1.073, 0.758, 0.338, 0.995, 1.109, 0.770, 4.754, 0.995, 1.109, 0.770, 4.701
