test01
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,,GT,,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
 01,  01 , 0.881, 0.907, 0.996, 0.344, 0.882, 0.907, 0.992, 0.189, 0.882, 0.907, 0.988, 0.545, 0.882, 0.907, 0.988, 0.517, 1.000, 1.000, 1.000, 0.000
 02,  01 , 0.885, 0.910, 1.000, 0.209, 0.885, 0.910, 0.996, 0.206, 0.886, 0.910, 0.989, 0.541, 0.886, 0.910, 0.989, 0.683, 1.000, 1.000, 1.000, 0.000
 03,  01 , 0.867, 0.895, 1.000, 0.283, 0.864, 0.897, 1.000, 0.274, 0.869, 0.907, 1.000, 1.429, 0.869, 0.907, 1.000, 1.462, 1.000, 1.000, 1.000, 0.000
 04,  01 , 0.871, 0.898, 1.000, 0.231, 0.819, 0.855, 0.973, 0.234, 0.873, 0.910, 1.000, 0.609, 0.873, 0.910, 1.000, 0.924, 1.000, 1.000, 1.000, 0.000
 05,  01 , 0.863, 0.901, 0.981, 0.771, 0.824, 0.859, 0.971, 0.446, 0.968, 0.973, 1.000, 1.357, 0.968, 0.973, 1.000, 1.399, 1.000, 1.000, 1.000, 0.000
 06,  01 , 0.923, 0.943, 0.985, 0.448, 0.779, 0.829, 0.975, 0.316, 0.969, 0.974, 1.000, 0.343, 0.969, 0.974, 1.000, 0.337, 1.000, 1.000, 1.000, 0.000
 07,  01 , 0.923, 0.944, 1.000, 0.303, 0.805, 0.849, 0.977, 0.389, 0.970, 0.974, 1.000, 0.352, 0.970, 0.974, 1.000, 0.351, 1.000, 1.000, 1.000, 0.000
 08,  01 , 0.925, 0.946, 1.000, 0.343, 0.820, 0.860, 0.991, 0.462, 0.971, 0.975, 1.000, 0.372, 0.971, 0.975, 1.000, 0.392, 1.000, 1.000, 1.000, 0.000
 09,  01 , 0.928, 0.947, 1.000, 0.349, 0.825, 0.864, 0.973, 0.416, 0.971, 0.976, 1.000, 0.386, 0.971, 0.976, 1.000, 0.383, 1.000, 1.000, 1.000, 0.000
 10,  01 , 0.929, 0.949, 1.000, 0.382, 0.830, 0.868, 0.979, 0.379, 0.972, 0.976, 1.000, 0.415, 0.972, 0.976, 1.000, 0.405, 1.000, 1.000, 1.000, 0.000
 11,  01 , 0.880, 0.915, 1.000, 0.408, 0.816, 0.859, 0.980, 0.478, 0.973, 0.977, 1.000, 0.423, 0.973, 0.977, 1.000, 0.421, 1.000, 1.000, 1.000, 0.000
 12,  01 , 0.897, 0.920, 0.992, 0.501, 0.860, 0.898, 1.000, 0.506, 0.974, 0.978, 1.000, 0.453, 0.974, 0.978, 1.000, 0.452, 1.000, 1.000, 1.000, 0.000
 13,  01 , 0.925, 0.942, 0.997, 0.552, 0.864, 0.901, 1.000, 0.469, 1.000, 1.000, 1.000, 0.643, 0.974, 0.978, 1.000, 0.465, 1.000, 1.000, 1.000, 0.000
 14,  01 , 0.965, 0.969, 1.000, 0.786, 0.867, 0.903, 1.000, 0.508, 1.000, 1.000, 1.000, 0.496, 0.975, 0.979, 1.000, 0.500, 1.000, 1.000, 1.000, 0.000
 15,  01 , 0.966, 0.969, 1.000, 0.735, 0.853, 0.892, 1.000, 0.529, 1.000, 1.000, 1.000, 0.516, 0.976, 0.979, 1.000, 0.525, 1.000, 1.000, 1.000, 0.000
test02
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,,GT,,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
 01,  02 , 0.822, 0.907, 0.991, 0.301, 0.817, 0.908, 0.971, 0.282, 0.811, 0.910, 1.000, 1.395, 0.811, 0.910, 1.000, 1.375, 1.000, 1.000, 1.000, 0.000
 02,  02 , 0.828, 0.910, 1.000, 0.248, 0.818, 0.913, 0.987, 0.404, 0.817, 0.913, 1.000, 0.970, 0.817, 0.913, 1.000, 0.969, 1.000, 1.000, 1.000, 0.000
 03,  02 , 0.834, 0.913, 1.000, 0.208, 0.847, 0.930, 1.000, 0.260, 0.862, 0.946, 0.972, 1.753, 0.862, 0.946, 0.972, 1.758, 1.000, 1.000, 1.000, 0.000
 04,  02 , 0.785, 0.876, 0.971, 0.238, 0.810, 0.907, 1.000, 0.224, 0.831, 0.932, 0.972, 0.654, 0.831, 0.932, 0.972, 0.721, 1.000, 1.000, 1.000, 0.000
 05,  02 , 0.792, 0.881, 1.000, 0.425, 0.815, 0.909, 1.000, 0.252, 0.836, 0.934, 0.973, 0.786, 0.836, 0.934, 0.973, 0.815, 1.000, 1.000, 1.000, 0.000
 06,  02 , 0.798, 0.884, 1.000, 0.604, 0.820, 0.911, 1.000, 0.295, 0.836, 0.932, 0.983, 1.000, 0.841, 0.936, 0.983, 1.540, 1.000, 1.000, 1.000, 0.000
 07,  02 , 0.803, 0.887, 1.000, 0.653, 0.825, 0.913, 1.000, 0.340, 0.846, 0.937, 0.988, 0.354, 0.841, 0.934, 0.982, 0.394, 1.000, 1.000, 1.000, 0.000
 08,  02 , 0.809, 0.890, 1.000, 0.314, 0.830, 0.915, 1.000, 0.322, 0.850, 0.939, 0.984, 0.418, 0.850, 0.939, 0.982, 0.456, 1.000, 1.000, 1.000, 0.000
 09,  02 , 0.814, 0.893, 1.000, 0.346, 0.834, 0.917, 1.000, 0.521, 0.854, 0.941, 0.985, 0.491, 0.853, 0.941, 0.983, 0.466, 1.000, 1.000, 1.000, 0.000
 10,  02 , 0.829, 0.898, 1.000, 0.520, 0.838, 0.919, 1.000, 0.370, 0.857, 0.942, 0.988, 0.408, 0.809, 0.905, 1.000, 0.813, 1.000, 1.000, 1.000, 0.000
 11,  02 , 0.823, 0.901, 1.000, 0.714, 0.844, 0.921, 0.995, 0.518, 0.861, 0.944, 0.988, 0.427, 0.862, 0.944, 1.000, 0.495, 1.000, 1.000, 1.000, 0.000
 12,  02 , 0.798, 0.884, 0.997, 0.466, 0.808, 0.895, 0.960, 0.537, 0.836, 0.931, 0.987, 0.668, 0.865, 0.945, 1.000, 0.532, 1.000, 1.000, 1.000, 0.000
 13,  02 , 0.802, 0.887, 1.000, 0.752, 0.829, 0.898, 0.987, 0.873, 0.839, 0.932, 0.986, 0.486, 0.868, 0.946, 1.000, 0.506, 1.000, 1.000, 1.000, 0.000
 14,  02 , 0.768, 0.864, 1.000, 0.695, 0.802, 0.882, 0.981, 0.797, 0.817, 0.921, 0.988, 0.576, 0.844, 0.934, 1.000, 0.502, 1.000, 1.000, 1.000, 0.000
