test01
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,,GT,,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
 01,  01 , 0.549, 1.181, 0.536, 0.585, 0.559, 1.179, 0.566, 0.392, 0.710, 1.267, 0.645, 5.719, 0.710, 1.267, 0.645, 5.329, 1.000, 1.000, 1.000, 0.000
 02,  01 , 0.562, 1.164, 0.605, 0.857, 0.543, 1.148, 0.597, 0.731, 0.729, 1.257, 0.677, 5.754, 0.729, 1.257, 0.677, 5.610, 1.000, 1.000, 1.000, 0.000
 03,  01 , 0.553, 1.141, 0.652, 0.737, 0.541, 1.139, 0.611, 0.765, 0.724, 1.262, 0.655, 6.154, 0.724, 1.262, 0.655, 6.198, 1.000, 1.000, 1.000, 0.000
 04,  01 , 0.591, 1.143, 0.707, 0.781, 0.579, 1.146, 0.647, 0.636, 0.739, 1.260, 0.671, 7.227, 0.739, 1.260, 0.671, 6.970, 1.000, 1.000, 1.000, 0.000
 05,  01 , 0.600, 1.144, 0.692, 0.790, 0.622, 1.147, 0.716, 0.955, 0.749, 1.259, 0.675, 7.759, 0.749, 1.259, 0.675, 7.759, 1.000, 1.000, 1.000, 0.000
 06,  01 , 0.620, 1.163, 0.728, 1.036, 0.616, 1.164, 0.744, 0.962, 0.752, 1.178, 0.782, 3.041, 0.716, 1.199, 0.784, 2.957, 1.000, 1.000, 1.000, 0.000
 07,  01 , 0.634, 1.169, 0.731, 1.135, 0.613, 1.167, 0.710, 1.063, 0.775, 1.178, 0.806, 2.989, 0.773, 1.165, 0.821, 2.960, 1.000, 1.000, 1.000, 0.000
 08,  01 , 0.647, 1.169, 0.738, 1.180, 0.622, 1.165, 0.701, 0.899, 0.795, 1.173, 0.824, 3.171, 0.761, 1.190, 0.817, 3.087, 1.000, 1.000, 1.000, 0.000
 09,  01 , 0.653, 1.161, 0.730, 1.343, 0.638, 1.159, 0.727, 1.251, 0.801, 1.149, 0.871, 3.186, 0.741, 1.166, 0.874, 3.169, 1.000, 1.000, 1.000, 0.000
 10,  01 , 0.645, 1.160, 0.719, 1.382, 0.647, 1.162, 0.714, 1.346, 0.788, 1.170, 0.878, 3.377, 0.772, 1.170, 0.822, 3.316, 1.000, 1.000, 1.000, 0.000
 11,  01 , 0.656, 1.162, 0.726, 1.339, 0.652, 1.171, 0.739, 1.592, 0.799, 1.157, 0.872, 3.449, 0.779, 1.145, 0.846, 3.532, 1.000, 1.000, 1.000, 0.000
 12,  01 , 0.658, 1.164, 0.702, 1.711, 0.657, 1.166, 0.733, 1.451, 0.800, 1.162, 0.860, 3.585, 0.750, 1.183, 0.847, 4.088, 1.000, 1.000, 1.000, 0.000
 13,  01 , 0.655, 1.168, 0.701, 1.692, 0.643, 1.168, 0.729, 1.963, 0.787, 1.175, 0.847, 4.158, 0.782, 1.171, 0.835, 4.113, 1.000, 1.000, 1.000, 0.000
 14,  01 , 0.664, 1.162, 0.705, 1.891, 0.648, 1.162, 0.724, 2.348, 0.790, 1.153, 0.872, 4.681, 0.795, 1.146, 0.841, 4.458, 1.000, 1.000, 1.000, 0.000
 15,  01 , 0.652, 1.152, 0.716, 2.082, 0.656, 1.159, 0.705, 1.926, 0.785, 1.166, 0.864, 4.706, 0.797, 1.171, 0.851, 5.115, 1.000, 1.000, 1.000, 0.000
test02
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,,GT,,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
 01,  02 , 0.664, 1.196, 0.626, 0.520, 0.653, 1.208, 0.602, 0.463, 0.743, 1.263, 0.647, 5.886, 0.743, 1.263, 0.647, 5.115, 1.000, 1.000, 1.000, 0.000
 02,  02 , 0.637, 1.199, 0.635, 0.609, 0.645, 1.193, 0.707, 0.732, 0.733, 1.275, 0.636, 5.820, 0.733, 1.275, 0.636, 5.531, 1.000, 1.000, 1.000, 0.000
 03,  02 , 0.684, 1.190, 0.687, 0.644, 0.655, 1.179, 0.734, 0.681, 0.746, 1.269, 0.648, 6.372, 0.746, 1.269, 0.648, 6.512, 1.000, 1.000, 1.000, 0.000
 04,  02 , 0.661, 1.187, 0.677, 0.984, 0.638, 1.185, 0.706, 1.072, 0.714, 1.283, 0.608, 7.578, 0.714, 1.283, 0.608, 7.420, 1.000, 1.000, 1.000, 0.000
 05,  02 , 0.651, 1.183, 0.687, 0.845, 0.663, 1.187, 0.717, 0.886, 0.715, 1.287, 0.606, 8.776, 0.715, 1.287, 0.606, 8.511, 1.000, 1.000, 1.000, 0.000
 06,  02 , 0.646, 1.185, 0.674, 0.840, 0.669, 1.178, 0.744, 1.040, 0.723, 1.180, 0.722, 2.672, 0.786, 1.181, 0.750, 3.280, 1.000, 1.000, 1.000, 0.000
 07,  02 , 0.670, 1.182, 0.659, 1.089, 0.705, 1.178, 0.754, 0.998, 0.741, 1.138, 0.776, 3.300, 0.810, 1.148, 0.803, 3.226, 1.000, 1.000, 1.000, 0.000
 08,  02 , 0.673, 1.176, 0.715, 1.262, 0.716, 1.175, 0.761, 1.064, 0.771, 1.125, 0.823, 3.435, 0.841, 1.156, 0.848, 3.246, 1.000, 1.000, 1.000, 0.000
 09,  02 , 0.710, 1.178, 0.742, 1.356, 0.731, 1.176, 0.731, 0.968, 0.775, 1.160, 0.804, 3.513, 0.847, 1.144, 0.870, 3.083, 1.000, 1.000, 1.000, 0.000
 10,  02 , 0.723, 1.177, 0.769, 1.444, 0.719, 1.177, 0.724, 1.342, 0.719, 1.143, 0.817, 3.769, 0.856, 1.158, 0.850, 3.444, 1.000, 1.000, 1.000, 0.000
 11,  02 , 0.727, 1.172, 0.762, 1.459, 0.723, 1.170, 0.732, 1.345, 0.779, 1.153, 0.850, 3.696, 0.875, 1.153, 0.878, 3.492, 1.000, 1.000, 1.000, 0.000
 12,  02 , 0.706, 1.168, 0.735, 1.352, 0.729, 1.173, 0.718, 1.586, 0.739, 1.104, 0.832, 4.126, 0.856, 1.150, 0.856, 4.038, 1.000, 1.000, 1.000, 0.000
 13,  02 , 0.708, 1.170, 0.728, 2.106, 0.736, 1.173, 0.721, 1.737, 0.778, 1.139, 0.818, 4.297, 0.881, 1.166, 0.857, 3.973, 1.000, 1.000, 1.000, 0.000
 14,  02 , 0.702, 1.164, 0.721, 2.037, 0.726, 1.176, 0.708, 1.605, 0.819, 1.151, 0.782, 4.642, 0.865, 1.146, 0.854, 4.184, 1.000, 1.000, 1.000, 0.000
 15,  02 , 0.721, 1.160, 0.724, 2.252, 0.742, 1.168, 0.743, 2.199, 0.840, 1.154, 0.819, 4.796, 0.884, 1.141, 0.836, 4.589, 1.000, 1.000, 1.000, 0.000
test03
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,,GT,,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
 01,  03 , 0.615, 1.184, 0.542, 0.311, 0.600, 1.185, 0.520, 0.418, 0.643, 1.301, 0.524, 5.490, 0.643, 1.301, 0.524, 5.552, 1.000, 1.000, 1.000, 0.000
 02,  03 , 0.646, 1.165, 0.591, 0.717, 0.643, 1.165, 0.588, 0.639, 0.662, 1.295, 0.536, 6.191, 0.662, 1.295, 0.536, 6.525, 1.000, 1.000, 1.000, 0.000
 03,  03 , 0.646, 1.149, 0.603, 0.744, 0.654, 1.160, 0.593, 0.586, 0.670, 1.299, 0.545, 6.993, 0.670, 1.299, 0.545, 6.887, 1.000, 1.000, 1.000, 0.000
 04,  03 , 0.652, 1.153, 0.638, 0.887, 0.641, 1.152, 0.595, 0.806, 0.658, 1.318, 0.529, 7.806, 0.658, 1.318, 0.529, 7.813, 1.000, 1.000, 1.000, 0.000
 05,  03 , 0.640, 1.152, 0.610, 0.825, 0.640, 1.147, 0.607, 0.895, 0.650, 1.316, 0.517, 9.067, 0.650, 1.316, 0.517, 9.082, 1.000, 1.000, 1.000, 0.000
 06,  03 , 0.624, 1.154, 0.579, 0.991, 0.645, 1.146, 0.606, 1.048, 0.626, 1.151, 0.629, 2.149, 0.672, 1.179, 0.635, 3.481, 1.000, 1.000, 1.000, 0.000
 07,  03 , 0.637, 1.147, 0.581, 1.099, 0.635, 1.144, 0.579, 0.985, 0.644, 1.144, 0.715, 3.691, 0.663, 1.116, 0.695, 3.544, 1.000, 1.000, 1.000, 0.000
 08,  03 , 0.660, 1.150, 0.592, 1.243, 0.670, 1.145, 0.618, 1.247, 0.743, 1.112, 0.715, 3.886, 0.711, 1.144, 0.723, 3.707, 1.000, 1.000, 1.000, 0.000
 09,  03 , 0.643, 1.157, 0.578, 1.411, 0.644, 1.155, 0.606, 1.266, 0.664, 1.153, 0.695, 3.995, 0.739, 1.141, 0.705, 3.922, 1.000, 1.000, 1.000, 0.000
 10,  03 , 0.648, 1.155, 0.581, 1.431, 0.663, 1.158, 0.611, 1.495, 0.725, 1.163, 0.697, 4.293, 0.705, 1.139, 0.685, 4.075, 1.000, 1.000, 1.000, 0.000
 11,  03 , 0.639, 1.161, 0.571, 1.312, 0.642, 1.152, 0.601, 1.401, 0.735, 1.156, 0.692, 4.429, 0.729, 1.148, 0.721, 4.507, 1.000, 1.000, 1.000, 0.000
 12,  03 , 0.646, 1.156, 0.600, 1.615, 0.645, 1.163, 0.624, 1.848, 0.595, 1.071, 0.813, 4.654, 0.795, 1.122, 0.739, 4.610, 1.000, 1.000, 1.000, 0.000
 13,  03 , 0.679, 1.165, 0.618, 1.966, 0.638, 1.164, 0.609, 1.933, 0.709, 1.138, 0.699, 5.042, 0.689, 1.113, 0.739, 4.885, 1.000, 1.000, 1.000, 0.000
 14,  03 , 0.675, 1.173, 0.599, 2.141, 0.650, 1.159, 0.633, 2.080, 0.777, 1.139, 0.727, 5.032, 0.694, 1.123, 0.724, 5.107, 1.000, 1.000, 1.000, 0.000
 15,  03 , 0.680, 1.171, 0.595, 2.134, 0.667, 1.163, 0.619, 2.274, 0.776, 1.160, 0.716, 5.321, 0.761, 1.149, 0.778, 5.457, 1.000, 1.000, 1.000, 0.000
test04
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,,GT,,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
 01,  04 , 0.607, 1.225, 0.563, 0.295, 0.609, 1.221, 0.546, 0.397, 0.641, 1.314, 0.527, 5.439, 0.641, 1.314, 0.527, 5.468, 1.000, 1.000, 1.000, 0.000
 02,  04 , 0.625, 1.196, 0.642, 0.548, 0.638, 1.193, 0.600, 0.518, 0.659, 1.299, 0.554, 5.902, 0.659, 1.299, 0.554, 5.858, 1.000, 1.000, 1.000, 0.000
 03,  04 , 0.637, 1.181, 0.686, 0.627, 0.645, 1.174, 0.649, 0.557, 0.675, 1.300, 0.557, 6.631, 0.675, 1.300, 0.557, 6.677, 1.000, 1.000, 1.000, 0.000
 04,  04 , 0.629, 1.184, 0.670, 0.866, 0.635, 1.182, 0.644, 0.732, 0.679, 1.306, 0.561, 7.538, 0.679, 1.306, 0.561, 7.584, 1.000, 1.000, 1.000, 0.000
