test01
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,,GT,,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
 01,  01 , 0.665, 0.788, 0.919, 0.409, 0.624, 0.775, 0.907, 0.304, 0.665, 0.817, 0.923, 1.253, 0.665, 0.817, 0.923, 1.008, 1.000, 1.000, 1.000, 0.000
 02,  01 , 0.645, 0.770, 0.892, 0.199, 0.639, 0.783, 0.944, 0.261, 0.698, 0.847, 1.000, 1.063, 0.698, 0.847, 1.000, 0.940, 1.000, 1.000, 1.000, 0.000
 03,  01 , 0.617, 0.733, 0.896, 0.184, 0.636, 0.785, 0.930, 0.265, 0.709, 0.851, 1.000, 0.317, 0.709, 0.851, 1.000, 0.318, 1.000, 1.000, 1.000, 0.000
 04,  01 , 0.571, 0.699, 0.895, 0.395, 0.613, 0.749, 0.980, 0.240, 0.669, 0.813, 0.940, 0.446, 0.669, 0.813, 0.940, 0.374, 1.000, 1.000, 1.000, 0.000
 05,  01 , 0.581, 0.716, 0.924, 0.453, 0.588, 0.716, 0.980, 0.308, 0.685, 0.820, 1.000, 1.173, 0.685, 0.820, 1.000, 1.188, 1.000, 1.000, 1.000, 0.000
 06,  01 , 0.598, 0.726, 0.931, 0.323, 0.619, 0.741, 1.000, 0.304, 0.695, 0.824, 1.000, 1.097, 0.695, 0.824, 1.000, 1.085, 1.000, 1.000, 1.000, 0.000
 07,  01 , 0.607, 0.733, 0.943, 0.452, 0.642, 0.752, 0.981, 0.282, 0.716, 0.832, 0.992, 1.492, 0.716, 0.832, 0.992, 1.485, 1.000, 1.000, 1.000, 0.000
 08,  01 , 0.593, 0.737, 0.928, 0.407, 0.636, 0.764, 0.989, 0.271, 0.710, 0.842, 0.982, 1.116, 0.710, 0.842, 0.982, 1.141, 1.000, 1.000, 1.000, 0.000
 09,  01 , 0.590, 0.725, 0.888, 0.476, 0.598, 0.744, 0.900, 0.474, 0.658, 0.815, 0.969, 2.164, 0.658, 0.815, 0.969, 2.181, 1.000, 1.000, 1.000, 0.000
 10,  01 , 0.555, 0.706, 0.896, 0.634, 0.576, 0.719, 0.901, 0.487, 0.636, 0.838, 0.981, 2.378, 0.636, 0.838, 0.981, 2.999, 1.000, 1.000, 1.000, 0.000
 11,  01 , 0.562, 0.706, 0.854, 0.585, 0.552, 0.702, 0.920, 0.728, 0.617, 0.807, 0.982, 0.641, 0.616, 0.814, 0.984, 0.692, 1.000, 1.000, 1.000, 0.000
 12,  01 , 0.575, 0.723, 0.842, 0.675, 0.593, 0.738, 0.909, 0.791, 0.615, 0.811, 0.971, 1.245, 0.632, 0.829, 0.986, 0.883, 1.000, 1.000, 1.000, 0.000
 13,  01 , 0.610, 0.750, 0.882, 0.671, 0.571, 0.722, 0.892, 0.730, 0.658, 0.852, 0.971, 1.398, 0.599, 0.800, 0.998, 1.235, 1.000, 1.000, 1.000, 0.000
 14,  01 , 0.647, 0.790, 0.932, 0.892, 0.650, 0.779, 0.911, 1.042, 0.707, 0.879, 0.984, 1.576, 0.575, 0.789, 1.000, 1.142, 1.000, 1.000, 1.000, 0.000
 15,  01 , 0.629, 0.781, 0.878, 0.806, 0.637, 0.788, 0.924, 1.020, 0.759, 0.893, 0.991, 1.196, 0.565, 0.787, 1.000, 0.535, 1.000, 1.000, 1.000, 0.000
 16,  01 , 0.671, 0.810, 0.943, 0.831, 0.685, 0.806, 0.940, 1.039, 0.831, 0.933, 0.988, 1.044, 0.594, 0.799, 0.985, 1.218, 1.000, 1.000, 1.000, 0.000
 17,  01 , 0.685, 0.825, 0.936, 1.100, 0.727, 0.839, 0.928, 1.334, 0.851, 0.950, 0.990, 1.757, 0.634, 0.836, 0.962, 1.628, 1.000, 1.000, 1.000, 0.000
 18,  01 , 0.710, 0.844, 0.926, 1.101, 0.751, 0.859, 0.961, 1.484, 0.852, 0.961, 0.989, 1.558, 0.634, 0.825, 0.967, 2.043, 1.000, 1.000, 1.000, 0.000
 19,  01 , 0.728, 0.857, 0.936, 1.296, 0.743, 0.859, 0.955, 1.350, 0.856, 0.960, 0.993, 1.144, 0.637, 0.828, 0.962, 1.681, 1.000, 1.000, 1.000, 0.000
 20,  01 , 0.725, 0.857, 0.940, 1.493, 0.735, 0.849, 0.934, 1.382, 0.895, 0.967, 0.994, 1.742, 0.696, 0.856, 0.973, 2.421, 1.000, 1.000, 1.000, 0.000
test02
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,,GT,,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
 01,  02 , 0.912, 0.967, 0.979, 0.200, 0.911, 0.966, 0.981, 0.134, 0.917, 0.967, 0.993, 0.884, 0.917, 0.967, 0.993, 1.119, 1.000, 1.000, 1.000, 0.000
 02,  02 , 0.941, 0.977, 0.982, 0.323, 0.939, 0.977, 0.979, 0.273, 0.938, 0.978, 0.982, 1.125, 0.938, 0.978, 0.982, 0.995, 1.000, 1.000, 1.000, 0.000
 03,  02 , 0.859, 0.925, 0.975, 0.411, 0.943, 0.978, 0.982, 0.201, 0.940, 0.979, 0.982, 1.060, 0.940, 0.979, 0.982, 1.031, 1.000, 1.000, 1.000, 0.000
 04,  02 , 0.803, 0.889, 0.912, 0.219, 0.938, 0.979, 0.969, 0.301, 0.933, 0.980, 0.967, 0.388, 0.933, 0.980, 0.967, 0.356, 1.000, 1.000, 1.000, 0.000
 05,  02 , 0.813, 0.896, 0.974, 0.435, 0.879, 0.932, 0.977, 0.322, 0.946, 0.980, 0.985, 1.288, 0.946, 0.980, 0.985, 1.310, 1.000, 1.000, 1.000, 0.000
 06,  02 , 0.810, 0.894, 0.975, 0.441, 0.890, 0.938, 0.980, 0.328, 0.947, 0.981, 0.985, 1.612, 0.947, 0.981, 0.985, 1.542, 1.000, 1.000, 1.000, 0.000
 07,  02 , 0.818, 0.896, 0.986, 0.407, 0.894, 0.940, 0.975, 0.316, 0.950, 0.981, 0.986, 1.816, 0.950, 0.981, 0.986, 1.730, 1.000, 1.000, 1.000, 0.000
 08,  02 , 0.832, 0.904, 0.989, 0.452, 0.897, 0.942, 0.976, 0.248, 0.940, 0.983, 0.965, 0.579, 0.940, 0.983, 0.965, 0.577, 1.000, 1.000, 1.000, 0.000
 09,  02 , 0.841, 0.927, 0.986, 0.411, 0.901, 0.938, 0.980, 0.472, 0.986, 1.012, 0.997, 2.131, 0.986, 1.012, 0.997, 1.996, 1.000, 1.000, 1.000, 0.000
 10,  02 , 0.844, 0.929, 0.986, 0.286, 0.901, 0.940, 0.975, 0.300, 0.986, 1.011, 0.998, 2.035, 0.986, 1.011, 0.998, 2.059, 1.000, 1.000, 1.000, 0.000
 11,  02 , 0.873, 0.955, 0.993, 0.528, 0.888, 0.944, 0.976, 0.495, 0.969, 1.011, 1.000, 1.067, 0.969, 1.011, 1.000, 0.870, 1.000, 1.000, 1.000, 0.000
 12,  02 , 0.878, 0.958, 0.976, 0.476, 0.890, 0.945, 0.972, 0.349, 0.970, 1.011, 1.000, 0.342, 0.970, 1.011, 1.000, 0.343, 1.000, 1.000, 1.000, 0.000
 13,  02 , 0.871, 0.954, 0.977, 0.472, 0.850, 0.905, 0.960, 0.370, 0.930, 0.973, 1.000, 0.365, 0.930, 0.973, 1.000, 0.364, 1.000, 1.000, 1.000, 0.000
 14,  02 , 0.892, 0.965, 0.969, 0.765, 0.767, 0.869, 0.926, 0.806, 0.932, 0.974, 1.000, 0.380, 0.932, 0.974, 1.000, 0.384, 1.000, 1.000, 1.000, 0.000
 15,  02 , 0.897, 0.966, 0.969, 0.566, 0.738, 0.840, 0.913, 0.632, 0.896, 0.952, 1.000, 0.642, 0.881, 0.937, 0.967, 0.434, 1.000, 1.000, 1.000, 0.000
 16,  02 , 0.897, 0.966, 0.967, 0.470, 0.775, 0.873, 0.936, 0.695, 0.850, 0.921, 0.975, 0.426, 0.916, 0.966, 1.000, 0.495, 1.000, 1.000, 1.000, 0.000
 17,  02 , 0.899, 0.968, 0.962, 0.695, 0.768, 0.873, 0.914, 0.840, 0.848, 0.897, 1.000, 0.838, 0.917, 0.967, 0.998, 0.633, 1.000, 1.000, 1.000, 0.000
 18,  02 , 0.901, 0.969, 0.970, 0.727, 0.774, 0.876, 0.917, 0.948, 0.815, 0.869, 1.000, 0.729, 0.920, 0.968, 1.000, 0.451, 1.000, 1.000, 1.000, 0.000
 19,  02 , 0.907, 0.976, 0.954, 0.936, 0.775, 0.881, 0.906, 0.988, 0.845, 0.895, 0.994, 0.965, 0.922, 0.968, 1.000, 0.851, 1.000, 1.000, 1.000, 0.000
 20,  02 , 0.901, 0.976, 0.959, 0.975, 0.778, 0.883, 0.909, 0.975, 0.869, 0.927, 0.988, 1.144, 0.924, 0.969, 1.000, 0.556, 1.000, 1.000, 1.000, 0.000
test03
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,,GT,,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
 01,  03 , 0.661, 0.805, 0.865, 0.197, 0.660, 0.804, 0.836, 0.132, 0.654, 0.803, 0.939, 0.874, 0.654, 0.803, 0.939, 0.864, 1.000, 1.000, 1.000, 0.000
 02,  03 , 0.609, 0.763, 0.888, 0.270, 0.619, 0.773, 0.829, 0.183, 0.690, 0.828, 0.844, 1.063, 0.690, 0.828, 0.844, 1.048, 1.000, 1.000, 1.000, 0.000
