test01
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,,GT,,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
 01,  01 , 0.805, 0.961, 0.949, 1.101, 0.799, 0.975, 0.952, 0.755, 0.919, 1.023, 0.952, 3.956, 0.919, 1.023, 0.952, 3.705, 1.000, 1.000, 1.000, 0.000
 02,  01 , 0.834, 0.977, 0.930, 0.723, 0.836, 0.987, 0.917, 0.677, 0.916, 1.021, 0.970, 3.468, 0.916, 1.021, 0.970, 3.345, 1.000, 1.000, 1.000, 0.000
 03,  01 , 0.797, 0.947, 0.961, 0.859, 0.830, 0.968, 0.928, 0.864, 0.916, 1.021, 0.967, 3.730, 0.916, 1.021, 0.967, 3.609, 1.000, 1.000, 1.000, 0.000
 04,  01 , 0.832, 0.959, 0.942, 0.857, 0.829, 0.968, 0.927, 0.919, 0.918, 1.021, 0.968, 4.225, 0.918, 1.021, 0.968, 4.002, 1.000, 1.000, 1.000, 0.000
 05,  01 , 0.848, 0.963, 0.948, 0.848, 0.836, 0.967, 0.941, 0.954, 0.921, 1.019, 0.971, 4.345, 0.921, 1.019, 0.971, 4.340, 1.000, 1.000, 1.000, 0.000
 06,  01 , 0.842, 0.966, 0.950, 1.094, 0.830, 0.965, 0.936, 0.993, 0.921, 1.020, 0.966, 4.925, 0.921, 1.020, 0.966, 5.597, 1.000, 1.000, 1.000, 0.000
 07,  01 , 0.853, 0.983, 0.928, 1.189, 0.809, 0.937, 0.941, 1.149, 0.914, 1.021, 0.965, 5.424, 0.914, 1.021, 0.965, 5.430, 1.000, 1.000, 1.000, 0.000
 08,  01 , 0.805, 0.948, 0.951, 1.308, 0.770, 0.900, 0.928, 1.263, 0.914, 1.021, 0.964, 5.903, 0.914, 1.021, 0.964, 5.984, 1.000, 1.000, 1.000, 0.000
 09,  01 , 0.822, 0.960, 0.954, 1.372, 0.803, 0.914, 0.945, 1.356, 0.903, 1.022, 0.955, 6.796, 0.903, 1.022, 0.955, 6.824, 1.000, 1.000, 1.000, 0.000
 10,  01 , 0.838, 0.962, 0.962, 1.538, 0.803, 0.922, 0.932, 1.444, 0.906, 1.022, 0.959, 7.136, 0.906, 1.022, 0.959, 7.159, 1.000, 1.000, 1.000, 0.000
 11,  01 , 0.830, 0.957, 0.939, 1.426, 0.802, 0.919, 0.928, 1.547, 0.914, 1.016, 0.983, 1.961, 0.902, 1.018, 0.972, 1.772, 1.000, 1.000, 1.000, 0.000
 12,  01 , 0.835, 0.958, 0.932, 1.635, 0.768, 0.895, 0.899, 1.686, 0.911, 1.016, 0.982, 2.079, 0.914, 1.015, 0.994, 1.865, 1.000, 1.000, 1.000, 0.000
 13,  01 , 0.836, 0.966, 0.944, 1.781, 0.771, 0.896, 0.912, 1.813, 0.893, 1.007, 0.977, 1.479, 0.892, 1.015, 0.990, 1.737, 1.000, 1.000, 1.000, 0.000
 14,  01 , 0.834, 0.967, 0.933, 1.929, 0.769, 0.898, 0.915, 1.937, 0.899, 1.009, 0.965, 1.693, 0.903, 1.016, 0.983, 2.172, 1.000, 1.000, 1.000, 0.000
