test01,,,,,,,,,,,,,,,,,,,,,
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,,GT,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
1,1,0.823,0.922,0.949,0.458,0.821,0.922,0.943,0.268,0.826,0.926,0.968,2.814,0.826,0.926,0.968,1.613,1,1,1,0
2,1,0.837,0.924,0.968,0.407,0.824,0.925,0.94,0.393,0.885,0.933,0.983,1.76,0.885,0.933,0.983,1.789,1,1,1,0
3,1,0.805,0.897,0.981,0.464,0.786,0.887,0.947,0.622,0.921,0.963,0.985,2.301,0.921,0.963,0.985,1.824,1,1,1,0
4,1,0.811,0.9,0.98,0.352,0.734,0.856,0.939,0.474,0.918,0.966,0.969,0.611,0.918,0.966,0.969,0.604,1,1,1,0
5,1,0.815,0.89,0.938,0.289,0.706,0.827,0.966,0.45,0.921,0.966,0.97,0.691,0.921,0.966,0.97,0.671,1,1,1,0
6,1,0.766,0.856,0.893,0.318,0.671,0.801,0.973,0.631,0.867,0.923,0.989,0.547,0.88,0.923,0.983,0.524,1,1,1,0
7,1,0.777,0.859,0.901,0.532,0.674,0.807,0.951,0.532,0.881,0.926,0.994,0.897,0.877,0.926,0.979,0.386,1,1,1,0
8,1,0.569,0.672,0.973,0.596,0.68,0.815,0.943,0.699,0.931,0.965,0.989,0.762,0.88,0.928,0.986,0.665,1,1,1,0
9,1,0.577,0.68,0.917,0.916,0.725,0.846,0.975,0.833,0.942,0.969,0.985,0.79,0.902,0.93,0.989,0.951,1,1,1,0
10,1,0.547,0.667,0.782,0.769,0.696,0.823,0.96,0.604,0.896,0.938,0.958,0.735,0.877,0.922,0.987,0.913,1,1,1,0
11,1,0.55,0.672,0.734,1.067,0.667,0.8,0.961,0.768,0.907,0.944,0.987,1.243,0.901,0.933,0.984,1.027,1,1,1,0
12,1,0.553,0.696,0.85,1.234,0.693,0.816,0.962,0.798,0.916,0.945,0.985,0.903,0.897,0.934,0.987,1.409,1,1,1,0
13,1,0.607,0.733,0.79,1.324,0.677,0.833,0.967,0.762,0.873,0.932,0.988,1.099,0.907,0.935,0.988,1.383,1,1,1,0
14,1,0.66,0.768,0.877,1.394,0.686,0.839,0.969,0.752,0.877,0.934,0.988,0.982,0.857,0.911,0.982,1.44,1,1,1,0
15,1,0.58,0.679,0.891,1.22,0.687,0.839,0.974,1.022,0.879,0.936,0.98,0.689,0.867,0.911,0.987,1.976,1,1,1,0
test02,,,,,,,,,,,,,,,,,,,,,
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,,GT,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
1,2,0.68,0.739,0.843,0.41,0.616,0.73,0.825,0.383,0.82,0.879,0.825,2.164,0.82,0.879,0.825,2.141,1,1,1,0
2,2,0.784,0.836,0.896,0.502,0.694,0.789,0.871,0.449,0.94,0.973,0.993,1.749,0.94,0.973,0.993,1.763,1,1,1,0
3,2,0.733,0.8,0.913,0.384,0.774,0.852,0.944,0.542,0.943,0.975,0.983,0.568,0.943,0.975,0.983,0.542,1,1,1,0
4,2,0.769,0.822,0.911,0.424,0.719,0.819,0.952,0.533,0.944,0.976,0.984,0.605,0.944,0.976,0.984,0.617,1,1,1,0
5,2,0.791,0.846,0.98,0.514,0.738,0.827,0.91,0.448,0.946,0.977,0.985,0.672,0.946,0.977,0.985,0.693,1,1,1,0
6,2,0.819,0.868,0.981,0.498,0.741,0.818,0.918,0.686,0.975,0.988,0.998,0.645,0.946,0.977,0.992,0.336,1,1,1,0
7,2,0.783,0.839,0.933,0.443,0.711,0.797,0.902,0.709,0.976,0.989,0.996,0.466,0.895,0.94,0.957,0.365,1,1,1,0
8,2,0.738,0.81,0.948,0.76,0.674,0.779,0.896,0.823,0.976,0.989,0.994,0.636,0.855,0.908,0.967,0.718,1,1,1,0
9,2,0.769,0.837,0.96,0.778,0.675,0.76,0.822,0.889,0.978,0.99,0.989,0.607,0.821,0.875,0.965,0.736,1,1,1,0
10,2,0.79,0.854,0.965,0.719,0.66,0.755,0.84,0.98,0.978,0.989,1,0.859,0.815,0.879,0.997,0.807,1,1,1,0
11,2,0.798,0.86,0.939,0.892,0.642,0.76,0.845,1.138,0.93,0.958,0.993,0.419,0.83,0.893,1,0.737,1,1,1,0
12,2,0.796,0.853,0.953,0.9,0.665,0.77,0.9,1.171,0.933,0.958,1,0.613,0.79,0.863,0.968,0.459,1,1,1,0
13,2,0.805,0.862,0.954,0.883,0.658,0.756,0.863,1.198,0.925,0.954,1,0.636,0.764,0.836,0.979,0.909,1,1,1,0
14,2,0.783,0.853,0.974,0.956,0.654,0.754,0.867,1.325,0.888,0.924,0.972,0.499,0.758,0.843,1,0.86,1,1,1,0
15,2,0.816,0.883,0.953,1.2,0.688,0.781,0.897,1.428,0.882,0.928,1,0.831,0.762,0.853,1,0.75,1,1,1,0
test03,,,,,,,,,,,,,,,,,,,,,
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,,GT,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
1,3,0.933,0.954,0.992,0.196,0.875,0.907,0.954,0.202,0.962,0.97,0.997,0.889,0.962,0.97,0.997,0.881,1,1,1,0
2,3,0.936,0.955,0.996,0.252,0.881,0.909,0.975,0.221,0.962,0.971,0.994,0.489,0.962,0.971,0.994,0.483,1,1,1,0
3,3,0.939,0.957,1,0.204,0.828,0.88,0.996,0.291,0.964,0.972,0.995,0.543,0.964,0.972,0.995,0.57,1,1,1,0
4,3,0.941,0.958,1,0.231,0.834,0.884,0.997,0.368,0.965,0.973,0.995,0.587,0.965,0.973,0.995,0.612,1,1,1,0
5,3,0.967,0.975,0.998,0.327,0.839,0.887,1,0.25,0.981,0.984,1,2.023,0.981,0.984,1,1.871,1,1,1,0
6,3,0.968,0.975,0.998,0.321,0.862,0.894,1,0.53,0.981,0.985,1,0.326,0.981,0.985,1,0.321,1,1,1,0
7,3,0.982,0.985,1,0.447,0.81,0.864,0.995,0.366,0.982,0.985,1,0.366,0.927,0.949,0.965,0.348,1,1,1,0
8,3,0.926,0.951,0.975,0.329,0.81,0.869,1,0.5,0.982,0.986,1,0.362,0.929,0.951,0.964,0.438,1,1,1,0
9,3,0.927,0.952,0.973,0.399,0.815,0.873,1,0.325,0.983,0.986,1,0.37,0.93,0.952,0.969,0.428,1,1,1,0
10,3,0.945,0.955,1,0.556,0.752,0.836,1,0.422,0.989,0.989,1,0.545,0.933,0.954,0.965,0.448,1,1,1,0
11,3,0.818,0.855,0.994,0.563,0.727,0.798,0.991,0.681,1,1,1,0.571,0.935,0.955,0.966,0.478,1,1,1,0
12,3,0.814,0.859,0.982,0.867,0.734,0.806,0.98,0.936,1,1,1,0.46,0.937,0.956,0.971,0.507,1,1,1,0
13,3,0.814,0.86,0.98,0.541,0.769,0.839,0.984,1.135,1,1,1,0.466,0.938,0.957,0.967,0.555,1,1,1,0
14,3,0.811,0.861,0.973,0.916,0.773,0.843,0.974,0.866,1,1,1,0.488,0.985,0.988,1,0.578,1,1,1,0
15,3,0.815,0.861,0.977,0.632,0.779,0.845,0.983,0.808,1,1,1,0.523,0.985,0.988,1,0.502,1,1,1,0
test04,,,,,,,,,,,,,,,,,,,,,
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,,GT,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
1,4,0.927,0.968,0.982,0.221,0.917,0.957,0.965,0.202,0.918,0.974,0.965,1.499,0.918,0.974,0.965,1.527,1,1,1,0
2,4,0.933,0.969,0.986,0.224,0.866,0.923,0.974,0.249,0.922,0.975,0.967,1.711,0.922,0.975,0.967,1.697,1,1,1,0
3,4,0.925,0.972,0.981,0.4,0.822,0.891,0.984,0.282,0.923,0.977,0.966,1.964,0.923,0.977,0.966,1.883,1,1,1,0
4,4,0.924,0.973,0.98,0.34,0.826,0.895,0.985,0.37,0.917,0.979,0.952,0.622,0.917,0.979,0.952,0.612,1,1,1,0
5,4,0.927,0.974,0.98,0.402,0.793,0.867,0.983,0.406,0.92,0.979,0.954,0.726,0.92,0.979,0.954,0.97,1,1,1,0
6,4,0.93,0.974,0.984,0.415,0.8,0.872,0.975,0.456,0.93,0.975,0.976,0.689,0.929,0.976,0.975,0.513,1,1,1,0
