test01,,,,,,,,,
,,CR-D,,,,CR-R,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time
5,1,0.412,1.118,0.306,10.138,0.412,1.118,0.306,11.548
10,1,0.339,0.94,0.481,3.982,0.462,0.959,0.708,3.536
15,1,0.55,1.004,0.652,5.476,0.584,1.026,0.729,5.178
20,1,0.727,1.034,0.76,6.403,0.647,1.032,0.772,6.552
25,1,0.676,0.984,0.782,4.343,0.674,1.022,0.794,4.372
30,1,0.785,1.013,0.803,5.714,0.735,1.025,0.808,5.657
35,1,0.774,1.019,0.763,6.83,0.737,1.026,0.851,6.862
40,1,0.747,1.007,0.807,4.523,0.709,1.012,0.772,4.567
45,1,0.747,1.008,0.8,5.034,0.716,1.014,0.766,5.311
50,1,0.75,1.004,0.805,6.15,0.735,1.01,0.783,6.602
test02,,,,,,,,,
,,CR-D,,,,CR-R,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time
5,2,0.817,1.109,0.777,6.679,0.817,1.109,0.777,6.717
10,2,0.825,1.059,0.823,3.357,0.825,1.046,0.819,3.234
15,2,0.83,1.053,0.809,4.268,0.762,1.053,0.768,4.707
20,2,0.81,1.05,0.799,5.586,0.786,1.052,0.797,6
25,2,0.8,1.033,0.858,4.088,0.782,1.028,0.793,4.027
30,2,0.828,1.034,0.789,4.865,0.805,1.032,0.76,4.921
35,2,0.845,1.033,0.792,5.756,0.796,1.03,0.78,6.151
40,2,0.814,1.023,0.778,4.299,0.81,1.024,0.782,4.266
45,2,0.81,1.021,0.846,5.419,0.81,1.005,0.755,5.315
50,2,0.803,1.021,0.763,6.001,0.845,1.026,0.785,6.08
test03,,,,,,,,,
,,CR-D,,,,CR-R,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time
5,3,0.976,1.114,0.77,6.962,0.976,1.114,0.77,6.929
10,3,0.981,1.059,0.827,3.156,0.981,1.07,0.812,3.285
15,3,0.984,1.06,0.807,4.229,0.943,1.06,0.818,4.287
20,3,0.978,1.063,0.803,5.524,0.986,1.064,0.795,5.626
25,3,0.942,1.04,0.856,4.038,0.917,1.009,0.857,4.159
30,3,0.946,1.042,0.786,4.907,0.981,1.044,0.808,4.853
35,3,0.956,1.048,0.818,5.799,0.984,1.049,0.779,5.837
40,3,0.955,1.023,0.796,4.387,0.975,1.037,0.81,4.415
45,3,0.949,1.028,0.78,5.116,0.96,1.031,0.774,5.098
50,3,0.935,1.034,0.791,6.005,0.963,1.031,0.815,6.012
test04,,,,,,,,,
,,CR-D,,,,CR-R,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time
5,4,0.991,1.118,0.758,7.066,0.991,1.118,0.758,7.073
10,4,1,1.066,0.806,3.308,0.981,1.064,0.807,3.297
