test01,,,,,,,,,,,,,,,,,
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
1,1,0.839,1.068,0.625,0.511,0.859,1.066,0.628,0.294,0.953,1.118,0.734,5.805,0.953,1.118,0.734,5.281
4,1,0.834,1.05,0.693,0.859,0.876,1.059,0.669,0.929,0.98,1.117,0.742,7.582,0.98,1.117,0.742,7.295
7,1,0.835,1.058,0.682,0.943,0.868,1.064,0.651,1.214,0.991,1.068,0.8,5.291,0.973,1.062,0.809,5.863
10,1,0.846,1.055,0.651,1.279,0.929,1.066,0.7,1.239,0.999,1.062,0.814,4.327,1,1.068,0.818,4.248
13,1,0.873,1.062,0.669,1.565,0.918,1.067,0.69,1.837,1,1.069,0.805,5.303,0.991,1.073,0.821,4.897
16,1,0.888,1.069,0.669,2.235,0.894,1.068,0.658,2.502,1,1.07,0.802,6.13,0.985,1.067,0.797,5.948
test02,,,,,,,,,,,,,,,,,
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
1,2,0.434,1.039,0.426,0.622,0.426,1.04,0.424,0.328,0.534,1.112,0.43,7.737,0.534,1.112,0.43,7.711
4,2,0.472,1.006,0.548,0.759,0.43,1.009,0.493,0.731,0.656,1.112,0.573,9.805,0.656,1.112,0.573,10.001
7,2,0.481,1.012,0.547,0.992,0.432,1.013,0.484,0.761,0.819,1.051,0.783,3.843,0.823,1.058,0.794,3.918
10,2,0.449,1.011,0.488,1.341,0.446,1.008,0.48,1.234,0.766,1.049,0.765,4.411,0.802,1.059,0.808,4.189
13,2,0.495,1.014,0.489,1.933,0.483,1.019,0.481,1.765,0.846,1.06,0.801,5.278,0.786,1.059,0.771,5.156
16,2,0.581,1.026,0.558,2.139,0.592,1.029,0.542,2.306,0.824,1.057,0.792,5.964,0.766,1.044,0.792,5.754
test03,,,,,,,,,,,,,,,,,
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
