test01,,,,,,,,,,,,,,,,,
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
1,1,0.826,1.076,0.678,0.709,0.816,1.082,0.643,0.367,0.906,1.119,0.713,4.855,0.906,1.119,0.713,4.881
4,1,0.798,1.069,0.665,0.673,0.81,1.066,0.673,0.695,0.931,1.122,0.71,8.64,0.931,1.122,0.71,6.672
7,1,0.81,1.069,0.68,0.724,0.862,1.077,0.697,0.671,0.93,1.066,0.788,2.634,0.936,1.069,0.779,2.984
10,1,0.864,1.073,0.68,0.928,0.873,1.075,0.691,0.978,0.982,1.068,0.793,4.716,0.967,1.069,0.802,4.722
13,1,0.883,1.074,0.672,1.035,0.873,1.075,0.696,1.06,0.967,1.064,0.792,3.724,0.957,1.059,0.798,5.479
16,1,0.879,1.078,0.677,1.341,0.88,1.076,0.69,1.537,0.991,1.068,0.801,4.532,0.96,1.066,0.798,4.366
test02,,,,,,,,,,,,,,,,,
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
1,2,0.486,1.038,0.458,0.294,0.455,1.033,0.442,0.237,0.539,1.108,0.396,6.405,0.539,1.108,0.396,6.808
4,2,0.554,1.022,0.584,0.658,0.479,1.006,0.527,0.546,0.769,1.11,0.625,7.829,0.769,1.11,0.625,7.473
7,2,0.679,1.032,0.631,0.834,0.51,1.004,0.537,0.741,0.874,1.058,0.772,2.905,0.929,1.059,0.804,2.817
10,2,0.704,1.037,0.608,0.979,0.597,1.016,0.615,0.945,0.894,1.045,0.806,3.294,0.922,1.053,0.797,3.365
13,2,0.751,1.048,0.657,1.365,0.693,1.037,0.649,1.397,0.878,1.05,0.803,3.855,0.921,1.063,0.8,3.815
16,2,0.736,1.047,0.62,1.5,0.73,1.048,0.643,1.6,0.847,1.055,0.79,4.369,0.92,1.059,0.806,4.076
test03,,,,,,,,,,,,,,,,,
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
